Datei,Dekade,Freq
343012.tcf.xml,1620,4350
343014.tcf.xml,1600,12225
343016.tcf.xml,1640,14402
343019.tcf.xml,1630,8755
345804.tcf.xml,1600,13334
346672.tcf.xml,1640,59849
347551.tcf.xml,1650,13588
353337.tcf.xml,1680,17678
353338.tcf.xml,1670,12159
353339.tcf.xml,1670,181
354492.tcf.xml,1670,8128
354492a.tcf.xml,1670,12452
354492b.tcf.xml,1670,5185
354493.tcf.xml,1660,10356
354494.tcf.xml,1660,6797
354495.tcf.xml,1660,3542
354496.tcf.xml,1660,2513
354497.tcf.xml,1660,1263
354499.tcf.xml,1650,23033
354511.tcf.xml,1670,10354
354512.tcf.xml,1670,3948
354513.tcf.xml,1670,1747
354514.tcf.xml,1670,1865
354515.tcf.xml,1650,11249
354516.tcf.xml,1650,17451
354521.tcf.xml,1660,12728
354522.tcf.xml,1660,19168
354523.tcf.xml,1670,17563
354524.tcf.xml,1680,13745
354525.tcf.xml,1660,6915
354527.tcf.xml,1670,9903
354528.tcf.xml,1670,6800
354529.tcf.xml,1670,3633
354529a.tcf.xml,1670,898
354530.tcf.xml,1670,1158
354531.tcf.xml,1660,7376
354532.tcf.xml,1660,12625
354533.tcf.xml,1660,4690
357469.tcf.xml,1600,41697
358654.tcf.xml,1720,15913
358766.tcf.xml,1620,6513
358773.tcf.xml,1670,22444
358833.tcf.xml,1680,30402
359520.tcf.xml,1690,22149
359521.tcf.xml,1690,15842
359522.tcf.xml,1690,12969
359996.tcf.xml,1640,11929
359997.tcf.xml,1640,11400
360000.tcf.xml,1650,13925
360001.tcf.xml,1640,15247
360002.tcf.xml,1640,13285
360149.tcf.xml,1710,22132
360150.tcf.xml,1710,5846
360155.tcf.xml,1660,27310
360156.tcf.xml,1670,28029
360677.tcf.xml,1650,27404
360685.tcf.xml,1640,24411
360685a.tcf.xml,1630,3463
360686.tcf.xml,1640,9226
360994.tcf.xml,1640,24362
361724.tcf.xml,1640,16321
376914.tcf.xml,1720,19817
378827.tcf.xml,1610,6386
385104.tcf.xml,1610,8603
385105.tcf.xml,1610,4771
386098.tcf.xml,1610,8581
386412.tcf.xml,1630,11069
386414.tcf.xml,1630,17668
386420.tcf.xml,1630,15913
386421.tcf.xml,1630,7686
386422.tcf.xml,1630,3911
386427.tcf.xml,1640,19254
386596.tcf.xml,1740,12842
386597.tcf.xml,1740,3355
387513.tcf.xml,1620,14434
387514.tcf.xml,1620,4489
387515.tcf.xml,1620,3479
387516.tcf.xml,1620,1558
389173.tcf.xml,1650,14842
389174.tcf.xml,1650,4756
389840.tcf.xml,1630,11355
392437.tcf.xml,1710,23992
392438.tcf.xml,1700,20413
392439.tcf.xml,1710,20250
392455.tcf.xml,1700,15034
392456.tcf.xml,1700,4910
395371.tcf.xml,1600,9379
395372.tcf.xml,1600,8349
395595.tcf.xml,1610,5773
409693.tcf.xml,1630,18879
421583.tcf.xml,1700,10852
508113.tcf.xml,1600,13725
508123.tcf.xml,1610,8391
508137.tcf.xml,1620,26293
508138.tcf.xml,1620,9761
508139.tcf.xml,1670,15996
508142.tcf.xml,1630,14262
508143.tcf.xml,1630,7780
508146.tcf.xml,1620,9309
508193.tcf.xml,1610,14367
508214.tcf.xml,1630,7081
508231.tcf.xml,1630,8821
508236.tcf.xml,1620,9066
508258.tcf.xml,1640,7682
508269.tcf.xml,1610,27294
508270.tcf.xml,1610,12001
508271.tcf.xml,1630,13367
508272.tcf.xml,1630,7221
508299.tcf.xml,1630,20381
508305.tcf.xml,1620,14275
508321.tcf.xml,1670,20012
508436.tcf.xml,1620,15869
508438.tcf.xml,1620,8593
