,Jahr,Dekade,Lemma,Datei
0,1492,1490,Reichtum,nn_fusspfad_1492.tcf.xml
1,1536,1530,Fürstentum,schnepf_eesachen_1536.tcf.xml
2,1536,1530,Fürstentum,schnepf_eesachen_1536.tcf.xml
3,1557,1550,Fürstentum,staden_landschafft_1557.tcf.xml
4,1562,1560,Irrtum,527798.tcf.xml
5,1564,1560,Papsttum,527796.tcf.xml
6,1564,1560,Papsttum,527796.tcf.xml
7,1564,1560,Irrtum,527796.tcf.xml
8,1564,1560,Irrtum,527796.tcf.xml
9,1564,1560,Papsttum,527796.tcf.xml
10,1564,1560,Papsttum,527796.tcf.xml
11,1564,1560,Papsttum,527796.tcf.xml
12,1564,1560,Irrtum,527796.tcf.xml
13,1564,1560,Papsttum,527796.tcf.xml
14,1564,1560,Irrtum,527796.tcf.xml
15,1564,1560,Papsttum,527796.tcf.xml
16,1564,1560,Papsttum,527796.tcf.xml
17,1564,1560,Irrtum,527796.tcf.xml
18,1564,1560,Papsttum,527796.tcf.xml
19,1578,1570,Priestertum,508450.tcf.xml
20,1578,1570,Eigentum,508450.tcf.xml
21,1583,1580,Irrtum,522222.tcf.xml
22,1583,1580,Irrtum,522222.tcf.xml
23,1585,1580,Reichtum,524295.tcf.xml
24,1585,1580,Christentum,524295.tcf.xml
25,1585,1580,Christentum,524295.tcf.xml
26,1585,1580,Papsttum,524291.tcf.xml
27,1585,1580,Irrtum,524291.tcf.xml
28,1585,1580,Heiligtum,524291.tcf.xml
29,1585,1580,Papsttum,524291.tcf.xml
30,1585,1580,Irrtum,524291.tcf.xml
31,1585,1580,Irrtum,524291.tcf.xml
32,1585,1580,Christentum,524291.tcf.xml
33,1585,1580,Irrtum,524291.tcf.xml
34,1585,1580,Priestertum,524291.tcf.xml
35,1585,1580,Irrtum,524291.tcf.xml
36,1585,1580,Irrtum,524291.tcf.xml
37,1585,1580,Priestertum,524291.tcf.xml
38,1585,1580,Irrtum,524291.tcf.xml
39,1585,1580,Irrtum,524291.tcf.xml
40,1587,1580,Reichtum,524279.tcf.xml
41,1587,1580,Priestertum,524279.tcf.xml
42,1587,1580,Reichtum,524279.tcf.xml
43,1587,1580,Papsttum,524279.tcf.xml
44,1587,1580,Priestertum,524279.tcf.xml
45,1587,1580,Priestertum,524279.tcf.xml
46,1587,1580,Irrtum,524279.tcf.xml
47,1587,1580,Heiligtum,524279.tcf.xml
48,1587,1580,Irrtum,524279.tcf.xml
49,1587,1580,Irrtum,524279.tcf.xml
50,1587,1580,Papsttum,524279.tcf.xml
51,1587,1580,Heiligtum,524279.tcf.xml
52,1587,1580,Heiligtum,524279.tcf.xml
53,1587,1580,Irrtum,524279.tcf.xml
54,1589,1580,Papsttum,524311.tcf.xml
55,1589,1580,Irrtum,524311.tcf.xml
56,1589,1580,Papsttum,524311.tcf.xml
57,1589,1580,Papsttum,524311.tcf.xml
58,1589,1580,Irrtum,524311.tcf.xml
59,1589,1580,Papsttum,524311.tcf.xml
60,1589,1580,Reichtum,524311.tcf.xml
61,1589,1580,Papsttum,524311.tcf.xml
62,1589,1580,Irrtum,524311.tcf.xml
63,1589,1580,Papsttum,524311.tcf.xml
64,1589,1580,Papsttum,524311.tcf.xml
65,1589,1580,Christentum,511531.tcf.xml
66,1589,1580,Reichtum,511531.tcf.xml
67,1589,1580,Reichtum,511531.tcf.xml
68,1589,1580,Reichtum,511517.tcf.xml
69,1589,1580,Christentum,511531.tcf.xml
70,1589,1580,Christentum,511531.tcf.xml
71,1589,1580,Eigentum,511524.tcf.xml
72,1589,1580,Christentum,511524.tcf.xml
73,1589,1580,Reichtum,511524.tcf.xml
74,1589,1580,Papsttum,511524.tcf.xml
75,1589,1580,Eigentum,511524.tcf.xml
76,1591,1590,Christentum,511528.tcf.xml
77,1591,1590,Reichtum,511528.tcf.xml
78,1591,1590,Reichtum,511528.tcf.xml
79,1591,1590,Reichtum,511528.tcf.xml
80,1593,1590,Reichtum,528095.tcf.xml
81,1593,1590,Fürstentum,528095.tcf.xml
82,1594,1590,Erzherzogtum,524472.tcf.xml
